unit,items,value_count,average_placement
TFT7_Sejuani,Shroud,16,3.0
TFT7_Sejuani,"None, None, Shroud",14,3.2142857142857144
TFT7_Sejuani,Zephyr,20,3.25
TFT7_Sejuani,TitanicHydra,18,3.611111111111111
TFT7_Senna,None,9140,4.500765864332604
TFT7_Senna,"None, None, None",3046,4.501313197636244
TFT7_Sett,Shroud,22,3.3636363636363638
TFT7_Sett,Zephyr,12,3.4166666666666665
TFT7_Sett,"None, None, Shroud",19,3.736842105263158
TFT7_Sett,None,8989,4.503393035932807
TFT7_Sett,"None, None, None",2940,4.513265306122449
TFT7_Shen,"None, None, Zephyr",18,2.888888888888889
TFT7_Shen,Zephyr,31,2.935483870967742
TFT7_Shen,"LocketOfTheIronSolari, None, None",22,2.9545454545454546
TFT7_Shen,LocketOfTheIronSolari,43,3.372093023255814
TFT7_Shen,Shroud,41,3.5609756097560976
TFT7_Shyvana,ArchangelsStaff,23,2.9130434782608696
TFT7_Shyvana,IonicSpark,25,3.04
TFT7_Shyvana,RabadonsDeathcap,18,3.0555555555555554
TFT7_Shyvana,HextechGunblade,18,3.2222222222222223
TFT7_Shyvana,RedBuff,85,3.376470588235294
TFT7_Skarner,"None, None, None",3024,4.4923941798941796
TFT7_Skarner,None,9094,4.494941719815263
TFT7_Sona,PowerGauntlet,17,3.3529411764705883
TFT7_Sona,Chalice,21,3.4761904761904763
TFT7_Sona,RabadonsDeathcap,27,3.5555555555555554
TFT7_Sona,StatikkShiv,76,3.6973684210526314
TFT7_Sona,Quicksilver,20,3.8
TFT7_Soraka,GuinsoosRageblade,12,3.0
TFT7_Soraka,SpearOfShojin,27,3.4074074074074074
TFT7_Soraka,ArchangelsStaff,17,3.4705882352941178
TFT7_Soraka,"None, None, SpearOfShojin",14,3.7857142857142856
TFT7_Soraka,ZekesHerald,20,3.95
TFT7_Swain,JeweledGauntlet,17,3.1176470588235294
TFT7_Swain,"GuinsoosRageblade, Quicksilver, StatikkShiv",62,3.6774193548387095
TFT7_Swain,StatikkShiv,148,3.8716216216216215
TFT7_Swain,"GuinsoosRageblade, MadredsBloodrazor, StatikkShiv",16,3.9375
TFT7_Swain,"GuinsoosRageblade, MadredsBloodrazor, Quicksilver",66,3.9545454545454546
TFT7_Sylas,LocketOfTheIronSolari,25,3.44
TFT7_Sylas,Quicksilver,17,3.5294117647058822
TFT7_Sylas,Redemption,36,3.888888888888889
TFT7_Sylas,FrozenHeart,14,4.142857142857143
TFT7_Sylas,RedBuff,114,4.307017543859649
TFT7_TahmKench,GargoyleStoneplate,12,2.75
TFT7_TahmKench,RedBuff,15,4.0
TFT7_TahmKench,None,9056,4.502650176678445
TFT7_TahmKench,"None, None, None",3000,4.503333333333333
TFT7_Talon,ThiefsGloves,37,3.2972972972972974
TFT7_Talon,JeweledGauntlet,18,3.3333333333333335
TFT7_Talon,GuardianAngel,61,3.3442622950819674
TFT7_Talon,RunaansHurricane,61,3.4918032786885247
TFT7_Talon,RecurveBow,14,3.5
TFT7_Taric,"None, None, None",2995,4.498831385642738
TFT7_Taric,None,9052,4.500552364118427
TFT7_Thresh,None,9016,4.509205856255545
TFT7_Thresh,"None, None, None",2958,4.515551048005409
TFT7_TrainerDragon,"None, None, None",2368,4.480152027027027
TFT7_TrainerDragon,None,8464,4.4944470699432895
TFT7_TrainerDragon,"None, None, TrainerSnax",680,4.569117647058824
TFT7_TrainerDragon,TrainerSnax,680,4.569117647058824
TFT7_Tristana,ThiefsGloves,12,2.3333333333333335
TFT7_Tristana,"None, None, Shroud",13,3.1538461538461537
TFT7_Tristana,RunaansHurricane,18,3.1666666666666665
TFT7_Tristana,Zephyr,23,3.260869565217391
TFT7_Tristana,Shroud,21,3.4285714285714284
TFT7_Twitch,LastWhisper,12,2.9166666666666665
TFT7_Twitch,RunaansHurricane,12,3.0
TFT7_Twitch,Zephyr,26,3.576923076923077
TFT7_Twitch,StatikkShiv,47,3.617021276595745
TFT7_Twitch,ZekesHerald,148,3.6554054054054053
TFT7_Varus,MadredsBloodrazor,13,4.0
TFT7_Varus,RunaansHurricane,13,4.153846153846154
TFT7_Varus,"None, None, None",3005,4.500166389351081
TFT7_Varus,None,9027,4.500720062036114
TFT7_Varus,GuinsoosRageblade,35,4.6
TFT7_Vladimir,"None, None, None",3023,4.493549454184585
TFT7_Vladimir,None,9103,4.496979017906185
TFT7_Volibear,"Bloodthirster, GuinsoosRageblade, Quicksilver",40,4.05
TFT7_Volibear,MadredsBloodrazor,26,4.3076923076923075
TFT7_Volibear,Quicksilver,92,4.315217391304348
TFT7_Volibear,"GuinsoosRageblade, MadredsBloodrazor, Quicksilver",12,4.333333333333333
TFT7_Volibear,GuinsoosRageblade,106,4.452830188679245
TFT7_Xayah,TitansResolve,14,3.2142857142857144
TFT7_Xayah,OrnnInfinityForce,22,3.3181818181818183
TFT7_Xayah,"GuinsoosRageblade, MadredsBloodrazor, RunaansHurricane",12,3.4166666666666665
TFT7_Xayah,RapidFireCannon,20,3.65
TFT7_Xayah,"GuildEmblemItem, GuinsoosRageblade, MadredsBloodrazor",26,3.6538461538461537
TFT7_Yasuo,ArchangelsStaff,15,2.6
TFT7_Yasuo,CavalierEmblemItem,50,2.88
TFT7_Yasuo,BrambleVest,27,2.888888888888889
TFT7_Yasuo,LastWhisper,30,2.933333333333333
TFT7_Yasuo,Shroud,13,3.0
TFT7_Yone,ZekesHerald,17,3.5294117647058822
TFT7_Yone,"None, None, None",2979,4.493118496139644
TFT7_Yone,None,8981,4.498162788108228
TFT7_Yone,Quicksilver,15,4.866666666666666
TFT7_Yone,GuinsoosRageblade,28,5.0
TFT7_Zoe,UnstableConcoction,13,3.076923076923077
TFT7_Zoe,ArchangelsStaff,15,3.1333333333333333
TFT7_Zoe,StatikkShiv,33,3.3636363636363638
TFT7_Zoe,Chalice,13,3.3846153846153846
TFT7_Zoe,GuinsoosRageblade,22,3.409090909090909
