comp,value_count,average_placement,group,grp_count,grp_placement
"Bard, Corki, DragonGold, Kayn, Lulu, Sona, TrainerDragon, Tristana",1,1.0,37,757,3.607981262959016
"Ashe, Gnar, Neeko, Sett, Shen, Shyvana, Swain, Xayah",1,1.0,10,759,4.657793240418274
"Bard, Corki, Jinx, Lulu, Neeko, Ornn, Sona, Yasuo",1,1.0,40,1,1.0
"Anivia, Bard, DragonGreen, Gnar, Neeko, Nidalee, Soraka, Twitch",1,1.0,41,20,5.033333333333333
"Bard, Corki, DragonBlue, Jinx, Lulu, Shen, Sona, TahmKench, Yasuo",1,1.0,34,29,3.1583333333333337
"Ashe, Hecarim, Karma, LeeSin, Ornn, Sett, Shyvana, Swain, Yasuo",1,1.0,10,759,4.657793240418274
"Bard, Kayn, Ornn, Qiyana, Sejuani, Shen, Talon, Twitch, Xayah",1,1.0,4,1193,3.536269609823293
"DragonPurple, Ornn, Pyke, Shen, Sylas, Talon, Thresh, Twitch",1,1.0,12,190,3.9604078264969353
"AoShin, Bard, DragonGold, DragonGreen, DragonPurple, Shyvana",1,1.0,31,2,1.0
"AoShin, Bard, DragonGold, Neeko, Soraka, Taric, Yasuo",1,1.0,42,1,1.0
"Ashe, LeeSin, Neeko, Sett, Soraka, Swain, Volibear, Xayah, Yasuo",1,1.0,10,759,4.657793240418274
"Bard, Corki, DragonGreen, Gnar, Neeko, Ornn, Soraka, Yasuo",1,1.0,4,1193,3.536269609823293
"Ashe, DragonGold, Kayn, LeeSin, Sett, Swain, Volibear, Yasuo, Zoe",1,1.0,43,1,1.0
"AoShin, Bard, DragonGold, DragonPurple, Ornn, Thresh",1,1.0,44,4,3.75
"AoShin, Bard, Ornn, Qiyana, Sylas, Talon, Volibear, Zoe",1,1.0,45,1,1.0
"Ashe, DragonGold, Karma, Kayn, Taric, Volibear, Xayah, Zoe",1,1.0,46,1,1.0
"AoShin, Bard, Ornn, Pyke, Shen, Soraka, Yasuo, Zoe",1,1.0,47,1,1.0
"AoShin, Bard, LeeSin, Ornn, Ryze, Sylas, Yasuo, Zoe",1,1.0,15,35,3.6666666666666665
"Ashe, Hecarim, Karma, LeeSin, Sett, Shyvana, Swain, Volibear",1,1.0,10,759,4.657793240418274
"AoShin, Bard, Ezreal, Gnar, LeeSin, Neeko, Ornn, Qiyana",1,1.0,48,2,3.0
"AoShin, Bard, Ezreal, Neeko, Ornn, Ryze, Sylas, Yasuo, Zoe",1,1.0,15,35,3.6666666666666665
"AoShin, Bard, Heimerdinger, Illaoi, Nami, Sylas, Vladimir, Zoe",1,1.0,49,1,1.0
"Bard, Corki, DragonBlue, Hecarim, Nunu, Pyke, Yasuo, Yone",1,1.0,50,1,1.0
"AoShin, Bard, Heimerdinger, Illaoi, Lulu, Ornn, Ryze, Sona, Sylas, TrainerDragon",1,1.0,51,23,3.89010989010989
