comp,value_count,average_placement,group,grp_count,grp_placement
"Aatrox, Ashe, DragonGold, Kayn, Swain, Xayah, Yasuo, Zoe",1,1.0,70,4,4.25
"AoShin, Heimerdinger, Lulu, Nami, Ornn, Sylas, Talon, TrainerDragon, Zoe",1,1.0,71,16,3.666666666666667
"AoShin, Bard, DragonGreen, DragonPurple, Ornn, Sylas",2,1.0,14,5,2.5
"Bard, Corki, DragonPurple, Lulu, Pyke, Sona, Sylas, Thresh, TrainerDragon, Tristana",1,1.0,0,96,3.6256410256410256
"Bard, DragonPurple, Ornn, Pyke, Qiyana, Sylas, Talon, Thresh, Yasuo",1,1.0,47,79,3.194871794871795
"Bard, DragonPurple, Ornn, Pyke, Qiyana, Sylas, Talon, Thresh",1,1.0,47,79,3.194871794871795
"Bard, DragonPurple, Ornn, Pyke, Qiyana, Sylas, Talon, Yasuo",1,1.0,47,79,3.194871794871795
"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Sylas, Thresh, Yasuo",1,1.0,47,79,3.194871794871795
"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Sylas, Talon, Thresh",1,1.0,47,79,3.194871794871795
"Anivia, Bard, DragonGreen, Gnar, Lulu, Neeko, TrainerDragon, Tristana, Zoe",1,1.0,72,8,2.9166666666666665
"Bard, DragonPurple, Ornn, Pyke, Qiyana, Yasuo",1,1.0,47,79,3.194871794871795
"Bard, DragonPurple, Ornn, Pyke, Qiyana, Soraka, Yasuo, Zoe",1,1.0,73,49,3.244186046511628
"Bard, DragonPurple, Ornn, Pyke, Qiyana, Soraka, Yasuo",1,1.0,47,79,3.194871794871795
"Bard, DragonPurple, Ornn, Pyke, Qiyana, Soraka, Talon, Yasuo",1,1.0,47,79,3.194871794871795
"Bard, DragonPurple, Ornn, Pyke, Qiyana, Ryze, Shen, Sylas, Zoe",1,1.0,73,49,3.244186046511628
"Bard, DragonPurple, Ornn, Pyke, Qiyana, Sylas, Talon, Thresh, Yasuo, Zoe",1,1.0,73,49,3.244186046511628
"DragonPurple, Gnar, Neeko, Pyke, Soraka, Sylas, Thresh, Yasuo",1,1.0,74,3,1.6666666666666667
"DragonPurple, Hecarim, Pyke, Sejuani, Shen, Talon, Twitch, Xayah, Yasuo",1,1.0,75,16,4.230769230769231
"DragonPurple, Kayn, Ornn, Qiyana, Soraka, Sylas, Talon",1,1.0,20,358,4.753456365711268
"Bard, DragonPurple, Ornn, Pyke, Shen, Sylas, Talon, Thresh",1,1.0,47,79,3.194871794871795
"Anivia, Bard, DragonGreen, Gnar, Lulu, Neeko, Twitch, Xayah",1,1.0,76,3,2.3333333333333335
"Bard, DragonPurple, Ornn, Pyke, Soraka, Sylas, Thresh, Yasuo",1,1.0,47,79,3.194871794871795
"Anivia, Bard, DragonGreen, Gnar, Lulu, Neeko, Soraka, Taric",1,1.0,77,234,4.656365740740741
