unit,items,value_count,average_placement
TFT7_Olaf,"AssassinEmblemItem, Bloodthirster, MadredsBloodrazor",12,3.5833333333333335
TFT7_Olaf,"AssassinEmblemItem, InfinityEdge, UnstableConcoction",26,3.6538461538461537
TFT7_Olaf,Zephyr,27,3.7037037037037037
TFT7_Olaf,"AssassinEmblemItem, MadredsBloodrazor, RapidFireCannon",12,3.8333333333333335
TFT7_Ornn,"None, None, ThiefsGloves",20,1.75
TFT7_Ornn,"Deathblade, ThiefsGloves, ZekesHerald",12,2.3333333333333335
TFT7_Ornn,"GargoyleStoneplate, GargoyleStoneplate, WarmogsArmor",12,2.4166666666666665
TFT7_Ornn,"IonicSpark, RedBuff, Redemption",14,2.5714285714285716
TFT7_Ornn,"GargoyleStoneplate, RedBuff, ThiefsGloves",14,2.7142857142857144
TFT7_Pyke,"None, None, ThiefsGloves",13,1.2307692307692308
TFT7_Pyke,"None, None, PowerGauntlet",12,2.4166666666666665
TFT7_Pyke,GuardianEmblemItem,17,2.6470588235294117
TFT7_Pyke,LocketOfTheIronSolari,79,2.7848101265822787
TFT7_Pyke,GargoyleStoneplate,29,2.793103448275862
TFT7_Qiyana,CavalierEmblemItem,28,2.7142857142857144
TFT7_Qiyana,"Morellonomicon, None, None",14,2.9285714285714284
TFT7_Qiyana,"MadredsBloodrazor, None, None",12,3.0833333333333335
TFT7_Qiyana,GargoyleStoneplate,15,3.1333333333333333
TFT7_Qiyana,"JeweledGauntlet, None, None",23,3.3043478260869565
TFT7_Ryze,"HextechGunblade, SpearOfShojin, SpearOfShojin",13,3.6923076923076925
TFT7_Ryze,Chalice,48,3.7291666666666665
TFT7_Ryze,"None, None, StatikkShiv",13,3.923076923076923
TFT7_Ryze,Shroud,17,3.9411764705882355
TFT7_Ryze,"HextechGunblade, JeweledGauntlet, SpearOfShojin",20,4.05
TFT7_Sejuani,"FrozenHeart, None, None",17,3.176470588235294
TFT7_Sejuani,"IonicSpark, None, None",14,3.4285714285714284
TFT7_Sejuani,"Chalice, None, None",20,3.45
TFT7_Sejuani,Shroud,216,3.5
TFT7_Sejuani,"None, None, PowerGauntlet",28,3.5357142857142856
TFT7_Senna,"None, None, None",35791,4.496772931742617
TFT7_Senna,None,107521,4.497921336297096
TFT7_Senna,StatikkShiv,14,4.571428571428571
TFT7_Senna,RunaansHurricane,12,4.833333333333333
TFT7_Senna,ThiefsGloves,12,5.25
TFT7_Sett,"None, None, TitanicHydra",36,3.2777777777777777
TFT7_Sett,"BFSword, None, None",13,3.3076923076923075
TFT7_Sett,"Chalice, None, None",12,3.3333333333333335
TFT7_Sett,TitanicHydra,72,3.513888888888889
TFT7_Sett,"None, None, Zephyr",33,3.5757575757575757
TFT7_Shen,"FrozenHeart, None, None",50,3.2
TFT7_Shen,MysticEmblemItem,17,3.2941176470588234
TFT7_Shen,MadredsBloodrazor,28,3.3214285714285716
TFT7_Shen,"LocketOfTheIronSolari, None, ZekesHerald",12,3.3333333333333335
TFT7_Shen,GuinsoosRageblade,36,3.361111111111111
TFT7_Shyvana,ZekesHerald,18,2.5555555555555554
TFT7_Shyvana,"ArchangelsStaff, None, None",12,3.0
TFT7_Shyvana,Shroud,30,3.0
TFT7_Shyvana,LocketOfTheIronSolari,27,3.074074074074074
TFT7_Shyvana,"DragonsClaw, GargoyleStoneplate, RedBuff",12,3.0833333333333335
TFT7_Skarner,"None, None, Zephyr",16,4.0625
TFT7_Skarner,RabadonsDeathcap,15,4.066666666666666
TFT7_Skarner,IonicSpark,32,4.15625
TFT7_Skarner,ThiefsGloves,78,4.17948717948718
TFT7_Skarner,TitanicHydra,31,4.225806451612903
TFT7_Sona,"Morellonomicon, SpearOfShojin, StatikkShiv",14,2.2142857142857144
TFT7_Sona,GargoyleStoneplate,21,3.0
TFT7_Sona,TitansResolve,55,3.2545454545454544
TFT7_Sona,RapidFireCannon,104,3.4134615384615383
TFT7_Sona,Bloodthirster,66,3.5757575757575757
TFT7_Soraka,GuildEmblemItem,14,2.357142857142857
TFT7_Soraka,Redemption,48,2.5208333333333335
TFT7_Soraka,IonicSpark,24,2.625
TFT7_Soraka,RapidFireCannon,67,2.656716417910448
TFT7_Soraka,"None, None, RapidFireCannon",24,2.6666666666666665
TFT7_Swain,"GuinsoosRageblade, StatikkShiv, StatikkShiv",15,2.933333333333333
TFT7_Swain,OrnnZhonyasParadox,28,3.2142857142857144
TFT7_Swain,WarmogsArmor,21,3.380952380952381
TFT7_Swain,"None, None, Shroud",43,3.4651162790697674
TFT7_Swain,Shroud,56,3.625
TFT7_Sylas,TempestEmblemItem,22,3.0454545454545454
TFT7_Sylas,"GargoyleStoneplate, RedBuff, ThiefsGloves",12,3.1666666666666665
TFT7_Sylas,"FrozenHeart, None, None",48,3.3333333333333335
TFT7_Sylas,GuinsoosRageblade,38,3.5526315789473686
TFT7_Sylas,"Chalice, None, None",18,3.5555555555555554
TFT7_TahmKench,ForceOfNature,12,3.0
TFT7_TahmKench,CavalierEmblemItem,12,3.75
TFT7_TahmKench,TitansResolve,26,3.769230769230769
TFT7_TahmKench,"None, None, Shroud",14,3.7857142857142856
TFT7_TahmKench,ZekesHerald,19,3.8947368421052633
TFT7_Talon,"None, None, ThiefsGloves",21,1.0
TFT7_Talon,"FrozenHeart, GuinsoosRageblade, InfinityEdge",13,2.5384615384615383
TFT7_Talon,"Deathblade, InfinityEdge, LastWhisper",13,2.6923076923076925
TFT7_Talon,"FrozenHeart, InfinityEdge, Quicksilver",13,2.6923076923076925
TFT7_Talon,"CavalierEmblemItem, InfinityEdge, MadredsBloodrazor",12,2.8333333333333335
TFT7_Taric,MysticEmblemItem,14,2.7142857142857144
TFT7_Taric,GuardianAngel,15,3.466666666666667
TFT7_Taric,PowerGauntlet,19,3.789473684210526
TFT7_Taric,LocketOfTheIronSolari,63,3.9047619047619047
TFT7_Taric,IonicSpark,106,3.9716981132075473
TFT7_Thresh,FrozenHeart,53,2.9056603773584904
TFT7_Thresh,MysticEmblemItem,20,3.05
TFT7_Thresh,"FrozenHeart, None, None",22,3.1363636363636362
TFT7_Thresh,"None, None, Redemption",13,3.1538461538461537
TFT7_Thresh,OrnnRocketPropelledFist,16,3.25
TFT7_TrainerDragon,"None, None, None",28937,4.466703528354701
TFT7_TrainerDragon,None,100809,4.49044232161811
TFT7_TrainerDragon,"None, None, TrainerSnax",6999,4.637662523217602
TFT7_TrainerDragon,TrainerSnax,6999,4.637662523217602
TFT7_Tristana,TitanicHydra,16,3.3125
TFT7_Tristana,OrnnObsidianCleaver,19,3.3684210526315788
TFT7_Tristana,MysticEmblemItem,16,3.375
TFT7_Tristana,"InfinityEdge, None, None",33,3.393939393939394
TFT7_Tristana,"None, None, ShimmerscaleHeartOfGold",14,3.5
TFT7_Twitch,"PowerGauntlet, ZekesHerald, ZekesHerald",12,2.3333333333333335
TFT7_Twitch,"ZekesHerald, ZekesHerald, ZekesHerald",15,2.533333333333333
TFT7_Twitch,"LastWhisper, None, None",50,2.94
TFT7_Twitch,"MadredsBloodrazor, None, None",20,3.05
TFT7_Twitch,"None, None, RapidFireCannon",20,3.05
TFT7_Varus,WhispersEmblemItem,12,2.1666666666666665
TFT7_Varus,HextechGunblade,26,3.230769230769231
TFT7_Varus,"GuinsoosRageblade, RunaansHurricane, UnstableConcoction",32,3.375
TFT7_Varus,ZekesHerald,16,3.5
TFT7_Varus,OrnnInfinityForce,34,3.6176470588235294
TFT7_Vladimir,FrozenHeart,15,3.933333333333333
TFT7_Vladimir,Zephyr,29,4.0344827586206895
TFT7_Vladimir,TitansResolve,42,4.166666666666667
TFT7_Vladimir,"None, None, RedBuff",12,4.166666666666667
TFT7_Vladimir,"None, None, Zephyr",18,4.277777777777778
TFT7_Volibear,GuardianEmblemItem,15,3.0
TFT7_Volibear,Shroud,62,3.532258064516129
TFT7_Volibear,"None, None, Shroud",33,3.6666666666666665
TFT7_Volibear,TitanicHydra,73,3.8219178082191783
TFT7_Volibear,"None, None, TitanicHydra",32,3.90625
TFT7_Xayah,"MadredsBloodrazor, Quicksilver, StatikkShiv",16,2.875
TFT7_Xayah,ShimmerscaleCrownOfChampions,17,2.9411764705882355
TFT7_Xayah,Chalice,29,3.0
TFT7_Xayah,"GuinsoosRageblade, MadredsBloodrazor, RapidFireCannon",18,3.3333333333333335
TFT7_Xayah,"GuinsoosRageblade, MadredsBloodrazor, OrnnInfinityForce",36,3.4166666666666665
TFT7_Yasuo,"None, None, ThiefsGloves",22,1.1818181818181819
TFT7_Yasuo,"Quicksilver, SeraphsEmbrace, TitansResolve",16,2.25
TFT7_Yasuo,ShimmerscaleCrownOfChampions,12,2.5
TFT7_Yasuo,RevelEmblemItem,20,2.5
TFT7_Yasuo,"Bloodthirster, InfinityEdge, MadredsBloodrazor",12,2.5
TFT7_Yone,TitanicHydra,12,3.3333333333333335
TFT7_Yone,PowerGauntlet,46,3.4782608695652173
TFT7_Yone,"None, None, PowerGauntlet",17,3.7058823529411766
TFT7_Yone,Shroud,36,3.7222222222222223
TFT7_Yone,LastWhisper,27,3.740740740740741
TFT7_Zoe,GuardianEmblemItem,12,2.3333333333333335
TFT7_Zoe,ShimmerscaleDiamondHands,43,2.395348837209302
TFT7_Zoe,ZekesHerald,141,2.893617021276596
TFT7_Zoe,RapidFireCannon,65,2.9076923076923076
TFT7_Zoe,"None, None, Quicksilver",14,3.0
