comp,value_count,average_placement,group,grp_count,grp_placement
"Bard, DragonBlue, Hecarim, Leona, Nunu, Sejuani, Twitch, Yasuo",1,1.0,1,619,3.6336631961532624
"Corki, DragonGold, Heimerdinger, Lulu, Sona, Sylas, Thresh, TrainerDragon",1,1.0,3,225,5.746455302551128
"Bard, DragonBlue, Hecarim, Leona, Nunu, Sejuani, Soraka, Yone",1,1.0,2,467,3.2486683455433454
"DragonPurple, Elise, Neeko, Ornn, Pyke, Sylas, Talon, Thresh",1,1.0,6,272,4.57444498069498
"Bard, DragonBlue, Hecarim, Leona, Nunu, Sejuani, Yasuo, Zoe",1,1.0,18,3,1.6666666666666667
"Corki, DragonGold, Lulu, Nami, Sona, Thresh, TrainerDragon, Tristana, Yasuo",1,1.0,3,225,5.746455302551128
"Bard, DragonBlue, DragonGreen, DragonPurple, Leona, Pyke",1,1.0,35,1,1.0
"Bard, DragonBlue, Hecarim, Leona, Nunu, Sejuani, Shen, Talon, Yasuo",1,1.0,2,467,3.2486683455433454
"Bard, DragonPurple, Nami, Pyke, Ryze, Sylas, Yasuo, Zoe",1,1.0,0,7,2.857142857142857
"Corki, DragonGold, Lulu, Sona, Talon, TrainerDragon, Tristana, Yasuo",1,1.0,3,225,5.746455302551128
"Aatrox, DragonGold, Ezreal, Kayn, Pyke, Qiyana, Talon, Zoe",1,1.0,36,1,1.0
"Bard, DragonBlue, Hecarim, Leona, Nunu, Shen, Thresh, Yone",1,1.0,2,467,3.2486683455433454
"Bard, DragonPurple, Nami, Ryze, Sona, Sylas, Yasuo, Zoe",1,1.0,0,7,2.857142857142857
"Bard, DragonBlue, Hecarim, Leona, Nunu, Ornn, Shen, Yasuo",1,1.0,2,467,3.2486683455433454
"Aatrox, DragonGold, Kayn, Pyke, Thresh, Volibear, Yasuo, Zoe",1,1.0,21,38,4.698924731182795
"Corki, DragonGold, Lulu, Sona, Soraka, Thresh, TrainerDragon, Tristana, Zoe",1,1.0,37,22,5.214285714285714
"Heimerdinger, Lillia, Lulu, Nami, Ryze, Skarner, Sylas, TrainerDragon, Yasuo, Zoe",1,1.0,38,1214,4.549435384857097
"Bard, DragonPurple, Illaoi, Lulu, Nami, Twitch, Varus, Zoe",1,1.0,39,86,2.5606450932537888
"Corki, DragonGold, Lulu, Nami, Sona, Thresh, TrainerDragon, Tristana, Zoe",1,1.0,37,22,5.214285714285714
"DragonPurple, Hecarim, Lillia, Pyke, Sejuani, Sylas, Talon, Zoe",1,1.0,40,1,1.0
"Bard, DragonPurple, Heimerdinger, Lulu, Ryze, Sona, Sylas, TrainerDragon, Tristana, Zoe",1,1.0,24,867,3.743362768820652
"AoShin, Bard, DragonGreen, Gnar, Neeko, Ornn, Soraka",1,1.0,41,27,2.8125
"AoShin, Bard, Diana, LeeSin, Ornn, Qiyana, Sylas, Talon",1,1.0,42,1,1.0
"Hecarim, Pyke, Sejuani, Shyvana, Talon, Twitch, Xayah",1,1.0,43,1,1.0
"Ashe, Bard, Gnar, Neeko, Sett, Shyvana, Swain, Xayah",1,1.0,44,22,4.4
"Bard, Illaoi, Lillia, Lulu, Nami, Ryze, Sylas, Zoe",1,1.0,45,41,4.103571428571429
"Ashe, Bard, DragonGreen, Elise, Gnar, Neeko, Nidalee, Swain",1,1.0,44,22,4.4
"Ashe, Bard, DragonGreen, Lulu, Nami, Neeko, Shen, Xayah",1,1.0,46,1,1.0
"DragonPurple, Ornn, Pyke, Qiyana, Talon, Yasuo",1,1.0,47,244,4.627932038199895
"Kayn, Ornn, Pyke, Qiyana, Shen, Shyvana, Swain, Talon, Twitch",1,1.0,48,1,1.0
"AoShin, Bard, Corki, Heimerdinger, Lulu, Ornn, Sona, Sylas, TrainerDragon",1,1.0,38,1214,4.549435384857097
"Bard, Illaoi, Ornn, Qiyana, Sejuani, Soraka, Talon, Twitch, Varus",2,1.0,1,619,3.6336631961532624
"AoShin, Bard, Corki, DragonGold, DragonPurple, Thresh, Zoe",1,1.0,49,2,2.0
"Ashe, Bard, DragonGreen, Karma, LeeSin, Neeko, Sett, Swain, Xayah",1,1.0,50,257,4.936757752746489
"DragonPurple, Elise, Neeko, Ornn, Qiyana, Sylas, Talon, Thresh",1,1.0,6,272,4.57444498069498
"Bard, Illaoi, LeeSin, Lulu, Nami, Ornn, Varus",1,1.0,51,2,1.5
"AoShin, Bard, Hecarim, Lulu, Ornn, Sylas, Yasuo, Zoe",1,1.0,52,2,3.0
"Ashe, Bard, Karma, Sett, Shen, Shyvana, Soraka, Swain, Yasuo",1,1.0,53,4,3.75
"Bard, Illaoi, Lulu, Nami, Ryze, Sona, Sylas, Zoe",2,1.0,45,41,4.103571428571429
"Corki, DragonGreen, Gnar, Lulu, Neeko, Sona, TrainerDragon, Tristana",2,1.0,54,5,2.0
"Bard, Illaoi, Lulu, Nami, Ryze, Sylas, Talon, TrainerDragon, Tristana, Varus",1,1.0,24,867,3.743362768820652
"Bard, Illaoi, Lulu, Nami, Twitch, Varus",1,1.0,1,619,3.6336631961532624
"Bard, Illaoi, Lulu, Nami, Shen, Twitch, Varus",1,1.0,1,619,3.6336631961532624
"AoShin, Bard, Lillia, Ornn, Pyke, Sylas, Yasuo, Zoe",1,1.0,12,115,2.5420000000000003
"AoShin, Bard, Hecarim, Lulu, Neeko, Ornn, Sona, Zoe",1,1.0,55,1,1.0
"Bard, Illaoi, Neeko, Ornn, Qiyana, Talon, Twitch, Varus, Yasuo",1,1.0,1,619,3.6336631961532624
"Bard, Illaoi, Nami, Pyke, Sylas, Twitch, Varus, Yasuo, Zoe",1,1.0,39,86,2.5606450932537888
"Bard, Illaoi, Nami, Ryze, Soraka, Sylas, Twitch, Varus, Zoe",1,1.0,39,86,2.5606450932537888
"Bard, Illaoi, Nami, Ryze, Sona, Sylas, Twitch, Varus, Zoe",1,1.0,39,86,2.5606450932537888
"Hecarim, Ornn, Qiyana, Sejuani, Shen, Skarner, Talon, Twitch, Xayah",1,1.0,56,900,5.4053548881673885
"AoShin, Bard, Ornn, Ryze, Sejuani, Talon, Twitch, Zoe",1,1.0,57,1,1.0
"DragonPurple, Elise, Neeko, Ornn, Qiyana, Soraka, Talon, Yasuo",1,1.0,6,272,4.57444498069498
"Hecarim, Ornn, Qiyana, Sejuani, Shen, Soraka, Talon, Twitch, Xayah, Yasuo",2,1.0,56,900,5.4053548881673885
"AoShin, Bard, DragonGold, DragonPurple, Thresh",1,1.0,58,4,1.1666666666666665
"Bard, Illaoi, Nami, Soraka, Sylas, Twitch, Varus, Yasuo, Zoe",1,1.0,39,86,2.5606450932537888
"Bard, Illaoi, Nami, Qiyana, Talon, Twitch, Varus, Yasuo",1,1.0,1,619,3.6336631961532624
"AoShin, Bard, DragonGold, DragonPurple, Ornn, Yasuo",1,1.0,59,2,2.5
"Bard, Illaoi, Nami, Qiyana, Sylas, Talon, Twitch, Varus",1,1.0,1,619,3.6336631961532624
"Hecarim, Ornn, Qiyana, Sejuani, Shen, Sylas, Talon, Twitch, Xayah",1,1.0,56,900,5.4053548881673885
"AoShin, Bard, DragonGold, DragonGreen, Ornn, Thresh",1,1.0,60,1,1.0
"Hecarim, Ornn, Pyke, Sejuani, Shen, Talon, Twitch, Xayah, Yasuo",1,1.0,56,900,5.4053548881673885
"Bard, Illaoi, Nami, Ornn, Twitch, Varus, Yasuo",2,1.0,1,619,3.6336631961532624
"Elise, Gnar, Karma, Neeko, Nidalee, Shyvana, Swain, Yasuo",2,1.0,61,58,3.106349206349206
"Hecarim, Ornn, Pyke, Qiyana, Shen, Talon, Twitch, Xayah, Yasuo",1,1.0,56,900,5.4053548881673885
"AoShin, Bard, Braum, DragonGold, Neeko, Ornn, Shyvana",1,1.0,62,1,1.0
"Ashe, Karma, Neeko, Sett, Soraka, Swain, Xayah, Yasuo",1,1.0,50,257,4.936757752746489
"AoShin, Bard, Lillia, Lulu, Ornn, Sejuani, Sylas, Zoe",1,1.0,12,115,2.5420000000000003
"Bard, Illaoi, Nami, Pyke, Soraka, Sylas, Twitch, Varus, Zoe",1,1.0,39,86,2.5606450932537888
"AoShin, Bard, Lillia, Lulu, Nami, Ornn, Sylas, Zoe",1,1.0,12,115,2.5420000000000003
"Corki, DragonBlue, Senna, Sett, Shen, TahmKench, Yone",1,1.0,63,1,1.0
"Bard, Illaoi, Lulu, Nami, Ornn, Talon, Twitch, Varus",1,1.0,1,619,3.6336631961532624
"Corki, DragonBlue, Jinx, Ornn, Pyke, Qiyana, Sona, TahmKench",1,1.0,64,1,1.0
"Bard, DragonGreen, Hecarim, Lillia, Nunu, Sejuani, Yasuo",1,1.0,65,1,1.0
"AoShin, Bard, Gnar, Neeko, Ornn, Sylas, Yasuo, Zoe",1,1.0,12,115,2.5420000000000003
"Bard, DragonPurple, Pyke, Sylas, Talon, Yasuo, Zoe",1,1.0,0,7,2.857142857142857
"AoShin, Bard, Gnar, Neeko, Ornn, Pyke, Yasuo",1,1.0,41,27,2.8125
"Corki, Hecarim, Neeko, Ornn, Xayah",1,1.0,66,1,1.0
"Bard, DragonPurple, Pyke, Shen, Sylas, Talon, Thresh, Yasuo",1,1.0,2,467,3.2486683455433454
"Bard, DragonPurple, Pyke, Soraka, Sylas, Talon, Thresh, Yasuo",1,1.0,2,467,3.2486683455433454
"AoShin, Bard, Gnar, Neeko, Ornn, Shen, Soraka, Yasuo",2,1.0,41,27,2.8125
"Bard, DragonPurple, Lulu, Ornn, Pyke, Qiyana, Shen, Sylas",1,1.0,2,467,3.2486683455433454
"Bard, DragonGreen, Pyke, Ryze, Sejuani, Talon, Twitch, Yasuo",1,1.0,67,5,3.875
"Corki, Hecarim, LeeSin, Lulu, Neeko, Ornn, Talon, Yasuo",1,1.0,68,14,3.775
"Bard, DragonPurple, Lulu, Sona, Sylas, TrainerDragon, Tristana, Zoe",1,1.0,24,867,3.743362768820652
"Corki, Hecarim, Lulu, Neeko, Ornn, Talon, Xayah, Yasuo",1,1.0,68,14,3.775
"Bard, DragonGreen, Elise, Gnar, Lulu, Neeko, Nidalee, Soraka",2,1.0,2,467,3.2486683455433454
"Bard, DragonGreen, Elise, Gnar, Lulu, Neeko, Nidalee, Pyke, Soraka",1,1.0,2,467,3.2486683455433454
"Bard, DragonPurple, Heimerdinger, Lulu, Sylas, TrainerDragon, Tristana, Yasuo, Zoe",1,1.0,24,867,3.743362768820652
"AoShin, Bard, Gnar, Nami, Neeko, Ornn, Soraka, Sylas",1,1.0,41,27,2.8125
"Bard, Gnar, Neeko, Nidalee, Shyvana, Soraka, Swain, Xayah",1,1.0,2,467,3.2486683455433454
"AoShin, Bard, DragonGreen, DragonPurple, Lulu, Pyke",1,1.0,69,1,1.0
"Bard, Gnar, Lulu, Neeko, Nidalee, Shyvana, Soraka, Yasuo",1,1.0,2,467,3.2486683455433454
"Bard, DragonPurple, Heimerdinger, Lulu, Sona, Sylas, TrainerDragon, Yasuo, Zoe",1,1.0,24,867,3.743362768820652
"Bard, DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh",2,1.0,2,467,3.2486683455433454
"Bard, DragonPurple, Elise, Neeko, Soraka, Sylas, Thresh",1,1.0,2,467,3.2486683455433454
"Bard, DragonPurple, Elise, Neeko, Pyke, Soraka, Sylas, Yasuo",1,1.0,2,467,3.2486683455433454
"AoShin, Bard, Gnar, Lulu, Neeko, Ornn, Pyke, Soraka, Sylas",1,1.0,41,27,2.8125
"Bard, Elise, Gnar, Lulu, Neeko, Nidalee, Pyke, Shyvana, Soraka",1,1.0,2,467,3.2486683455433454
"Bard, Elise, Gnar, Neeko, Nidalee, Shyvana, Sona, Swain",1,1.0,2,467,3.2486683455433454
"Bard, Illaoi, Lulu, Nami, Ornn, Qiyana, Twitch, Varus, Zoe",1,1.0,39,86,2.5606450932537888
"Bard, Illaoi, Lulu, Nami, Ornn, Qiyana, Sylas, Twitch, Varus",1,1.0,1,619,3.6336631961532624
"Bard, Illaoi, Lulu, Nami, Pyke, Sylas, Varus, Vladimir",1,1.0,45,41,4.103571428571429
"Corki, DragonBlue, Jinx, LeeSin, Ornn, Sona, TahmKench, Yasuo",2,1.0,70,34,3.339712918660287
"AoShin, Bard, Hecarim, Heimerdinger, Lulu, Ornn, Sejuani, Sylas, TrainerDragon, Zoe",1,1.0,71,1,1.0
"Corki, DragonBlue, Jinx, Lulu, Sona, TahmKench, Talon, Yasuo",1,1.0,70,34,3.339712918660287
"Bard, Illaoi, Lulu, Ornn, Talon, Twitch, Varus",1,1.0,1,619,3.6336631961532624
"AoShin, Bard, Hecarim, Ornn, Sejuani, Shen, Talon, Twitch, Xayah",1,1.0,72,1,1.0
"Bard, DragonPurple, Heimerdinger, Lulu, Ryze, Sylas, TrainerDragon, Yasuo, Zoe",1,1.0,24,867,3.743362768820652
"AoShin, Bard, Hecarim, Lillia, Ornn, Soraka, Sylas, Zoe",1,1.0,73,1,1.0
"Bard, DragonGreen, Illaoi, Nami, Ornn, Twitch, Varus, Zoe",1,1.0,74,1,1.0
"Corki, DragonBlue, LeeSin, Lulu, Ornn, Sona, TahmKench, TrainerDragon, Tristana",1,1.0,29,150,5.148339598997493
"AoShin, Bard, Hecarim, Neeko, Nunu, Ornn, Soraka, Yasuo",1,1.0,75,4,2.8333333333333335
"Bard, DragonPurple, Elise, Ornn, Pyke, Qiyana, Shen, Sylas, Yasuo",1,1.0,2,467,3.2486683455433454
"Bard, DragonPurple, Elise, Ornn, Pyke, Shen, Sylas, Yasuo",1,1.0,2,467,3.2486683455433454
"Corki, DragonBlue, Heimerdinger, Lulu, Ornn, Sona, Sylas, TrainerDragon, Zoe",1,1.0,30,58,3.3315192743764173
"Bard, DragonGreen, Gnar, Neeko, Soraka, Talon, Xayah, Yasuo",1,1.0,2,467,3.2486683455433454
"AoShin, Bard, Nunu, Qiyana, Ryze, Sejuani, Talon, Twitch",1,1.0,76,1,1.0
"AoShin, Bard, Neeko, Ornn, Pyke, Sona, Soraka, Yasuo",1,1.0,41,27,2.8125
"AoShin, Bard, Neeko, Ornn, Pyke, Talon, Yasuo, Zoe",1,1.0,77,1,1.0
"Corki, DragonBlue, Jinx, Lulu, Ornn, Sona, TahmKench, Yasuo",1,1.0,70,34,3.339712918660287
"DragonPurple, Ornn, Pyke, Qiyana, Shen, Sylas, Talon, Twitch",1,1.0,78,87,4.906132075471698
"Bard, Heimerdinger, Lillia, Lulu, Nami, Ryze, Sylas, TrainerDragon, Yasuo, Zoe",1,1.0,24,867,3.743362768820652
"Corki, DragonPurple, Heimerdinger, Lulu, Pyke, Sona, Sylas, TrainerDragon, Zoe",2,1.0,30,58,3.3315192743764173
"Diana, DragonPurple, Kayn, Ornn, Pyke, Qiyana, Talon, Zoe",1,1.0,79,1,1.0
"Bard, Braum, Corki, Jinx, Lulu, Pyke, Sona, Thresh, TrainerDragon, Tristana",1,1.0,80,7,2.8333333333333335
"Bard, Braum, Corki, Hecarim, Lulu, Ornn, Pyke, Soraka, Xayah, Yasuo",1,1.0,1,619,3.6336631961532624
"Bard, Braum, Corki, Hecarim, Neeko, Pyke, Soraka, Yasuo",1,1.0,81,1,1.0
"Bard, Braum, Hecarim, Neeko, Ornn, Pyke, Sona, Xayah, Yasuo",1,1.0,1,619,3.6336631961532624
"Bard, Braum, DragonBlue, Hecarim, Leona, Lillia, Nunu, Sejuani, Yasuo",1,1.0,2,467,3.2486683455433454
"Braum, Diana, Lillia, Olaf, Ornn, Qiyana, Yasuo",1,1.0,82,454,4.126419370637832
"Bard, Corki, Hecarim, Lulu, Neeko, Ornn, Pyke, Xayah, Yasuo",1,1.0,1,619,3.6336631961532624
"Bard, Corki, Hecarim, Lulu, Ornn, Yasuo",1,1.0,83,1,1.0
"Bard, Lillia, Pyke, Ryze, Sejuani, Sylas, Talon, Twitch, Zoe",1,1.0,32,35,3.3407407407407406
"Diana, DragonPurple, Pyke, Qiyana, Sylas, Thresh, Yasuo",1,1.0,84,7,3.2083333333333335
"Braum, Diana, Lillia, Olaf, Qiyana, Sejuani, Shen, Twitch",1,1.0,85,21,4.507575757575758
"Bard, Corki, Jinx, Lulu, Ornn, Sona, TahmKench, TrainerDragon, Tristana, Yasuo",1,1.0,24,867,3.743362768820652
"Braum, Diana, Lillia, Olaf, Qiyana, Sejuani, Shen, Talon",1,1.0,82,454,4.126419370637832
"Bard, Diana, Lulu, Ornn, Pyke, Qiyana, Sylas, Talon",1,1.0,2,467,3.2486683455433454
